,F,T_delta,Td_delta,delta,deltad,phi,phid,psi,time,v
0,-3.71653438372,-1.17204947643,54.4040699698,0.000929364491447,-0.407331334862,-0.00505106754635,-0.0418762696607,0.00969815684625,0.0,4.17513275824
1,-3.44776184509,-0.908686583908,50.9410870387,6.54724627206e-06,-0.359125132742,-0.00443661762367,-0.0436316067855,0.00921642177334,0.005,4.18499485056
2,-3.19462367531,-0.662638606042,46.3259162547,-0.000881127931735,-0.311370097041,-0.00383042894549,-0.0454713572658,0.00872619532327,0.01,4.1943699923
3,-2.96628717768,-0.445427421361,39.6378177426,-0.00170994008321,-0.264635803099,-0.00324950787787,-0.0474019789289,0.00822906362187,0.015,4.20287210792
4,-2.7707027658,-0.266260428617,31.4092416505,-0.00246280041888,-0.219677803153,-0.00270944118154,-0.0494095002473,0.00772674365214,0.02,4.21010515661
5,-2.61406923105,-0.131335004856,22.242322899,-0.00313086408617,-0.1774258403,-0.00222224487581,-0.0514525091456,0.00722121679148,0.025,4.21572809501
6,-2.50055306228,-0.0438371996267,12.6837168201,-0.00371412599582,-0.138921221063,-0.00179737133842,-0.0534643086433,0.00671480479419,0.03,4.21948647405
7,-2.43223691723,-0.00449783665489,3.15436616723,-0.00422112368073,-0.105231091483,-0.00144333508351,-0.0553616980927,0.00621018324301,0.035,4.22126937945
8,-2.40925667107,-0.0122935379544,-6.04708445554,-0.00466793500076,-0.0773617797569,-0.00116604280658,-0.0570557692575,0.00571031378064,0.04,4.22118506863
9,-2.43001905843,-0.0649686812103,-14.702176204,-0.00507679430707,-0.056182181815,-0.000964450794515,-0.0584595270943,0.00521829969897,0.045,4.21957779995
10,-2.49132816367,-0.159315299994,-22.6292403919,-0.00547459716534,-0.0423663626199,-0.000829958099884,-0.0594871998365,0.00473720410099,0.05,4.21694169733
11,-2.58844857645,-0.29126108513,-29.64969982,-0.00589142720549,-0.036359264106,-0.000751168135033,-0.0600482729282,0.00426987571301,0.055,4.21375969151
12,-2.71533522267,-0.455812298194,-35.5636179451,-0.0063592037677,-0.0383553380028,-0.000717616337761,-0.0600469317494,0.00381879678219,0.06,4.2103904226
13,-2.86511099004,-0.64689726458,-40.1417297091,-0.00691042243367,-0.0482786425399,-0.000719987772875,-0.0593919386427,0.00338593471226,0.065,4.20708328979
14,-3.03059434436,-0.857229595285,-43.1452629124,-0.00757677643931,-0.06576651411,-0.000750078707406,-0.058012008994,0.00297258214766,0.07,4.20403520164
15,-3.2046026691,-1.0783498937,-44.3655630543,-0.00838745105561,-0.0901657368203,-0.000801423446178,-0.0558688435915,0.00257919559554,0.075,4.20141413775
16,-3.37996750039,-1.30088522583,-43.6646012686,-0.00936710879056,-0.120543767146,-0.000868787636955,-0.0529623416011,0.00220525636356,0.08,4.19939292968
17,-3.54952138071,-1.51499590639,-41.0147703488,-0.0105338325526,-0.155710556928,-0.000946504652841,-0.0493261988341,0.00184918595405,0.085,4.19818924821
18,-3.70632507089,-1.71103292932,-36.5345685224,-0.0118974149304,-0.194250143563,-0.00102814548329,-0.0450170662523,0.00150835208203,0.09,4.19804528067
19,-3.84409620554,-1.88034159161,-30.4953469931,-0.0134583550826,-0.234567390204,-0.00110899330413,-0.040106580268,0.00117917941484,0.095,4.19916462422
20,-3.95768333066,-2.01598639925,-23.2898106027,-0.0152076568497,-0.274947902846,-0.00118957362076,-0.0346822485884,0.000857339812552,0.1,4.20166344051
21,-4.04347113526,-2.11323969764,-15.3782419131,-0.017127227004,-0.313623800812,-0.00127727948585,-0.0288506276636,0.000537966510205,0.105,4.2055505269
22,-4.09960479721,-2.16976881838,-7.21993342149,-0.0191906934831,-0.348847233644,-0.00138498288266,-0.0227339894165,0.000215834155727,0.11,4.2107493927
23,-4.12601891252,-2.18543903186,0.794850101342,-0.02136453354,-0.378970917876,-0.00152704089279,-0.016460509196,-0.000114517681979,0.115,4.21714975103
24,-4.12432940857,-2.16182031736,8.37854467732,-0.02360940004,-0.402522759544,-0.00171222174955,-0.0101543427056,-0.000458690429067,0.12,4.2246377659
25,-4.09763830651,-2.10165358508,15.3436938252,-0.025881601953,-0.418266183363,-0.00193574969208,-0.00392892598899,-0.000822319905237,0.125,4.23310575223
26,-4.05029016492,-2.00838337911,21.5969215972,-0.0281346123352,-0.425247190361,-0.00217817362775,0.00211779867425,-0.00121094540658,0.13,4.24246777502
27,-3.98759562847,-1.88568436911,27.1435546584,-0.0303204858339,-0.422827278338,-0.00241329556503,0.00790453074256,-0.00162987754719,0.135,4.25263251676
28,-3.91553094381,-1.73694783253,32.0864241111,-0.0323913239527,-0.410698200822,-0.00261677924628,0.0133637849555,-0.0020840907352,0.14,4.26340580704
29,-3.84033632364,-1.564820128,36.6035949879,-0.0343008540891,-0.388878286338,-0.00276937405007,0.0184394942936,-0.00257813986877,0.145,4.27442185725
30,-3.76792250536,-1.37091188265,40.9077802992,-0.0360059120086,-0.35769218567,-0.00285646675178,0.0230860526534,-0.00311607758146,0.15,4.28515818126
31,-3.70330668036,-1.15574232501,45.195518587,-0.0374675856716,-0.317731454367,-0.00286683787548,0.027266392822,-0.00370135190124,0.155,4.29498318024
32,-3.65040621806,-0.918956696779,49.5937502318,-0.0386518924169,-0.269796720881,-0.00279176523326,0.0309479215327,-0.00433668215933,0.16,4.30326489091
33,-3.61209366417,-0.659804822691,54.1191065279,-0.0395300205657,-0.214835134153,-0.00262487151856,0.0340979907358,-0.00502392202642,0.165,4.30955588975
34,-3.59019000477,-0.3777656315,58.6619055551,-0.0400782343048,-0.153887233162,-0.00236285963292,0.0366820186057,-0.00576392259661,0.17,4.31369444163
35,-3.58532065907,-0.0731857671403,62.99219009,-0.0402775472507,-0.0880460793857,-0.00200671493257,0.0386641445983,-0.00655640750109,0.175,4.31574616054
36,-3.59678030287,0.2521562694,66.7877041475,-0.0401133481747,-0.0184280870417,-0.00156274178155,0.0400093002877,-0.00739986385253,0.18,4.31590246287
37,-3.62252947666,0.594691274335,69.6867373121,-0.0395752282934,0.0538442036535,-0.00104305723494,0.0406884420242,-0.00829144489132,0.185,4.31440033466
38,-3.65932546471,0.949023642521,71.3479780023,-0.0386572894826,0.127650871983,-0.00046488955191,0.0406872158307,-0.00922687937581,0.19,4.3114671548
39,-3.70297774954,1.30817105436,71.4963613544,-0.0373589413953,0.201877868375,0.000151561598063,0.0400156816153,-0.0102003911082,0.195,4.30731097657
40,-3.74872900541,1.66398725606,69.962571394,-0.0356857431941,0.27541376432,0.000785464555184,0.0387157315793,-0.0112046508499,0.2,4.30214384617
41,-3.791656917,2.0077967683,66.7241691907,-0.0336499010163,0.347144624146,0.00141646269424,0.0368631459263,-0.0122307999934,0.205,4.29619232058
42,-3.82695260969,2.33122894797,61.9249361157,-0.0312703558799,0.415958975169,0.00202495373494,0.0345654424626,-0.0132685786766,0.21,4.28967585448
43,-3.85003711969,2.62704612946,55.8494975255,-0.0285725022169,0.480768779278,0.00259363858803,0.0319566440476,-0.0143065558892,0.215,4.28279503554
